Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1uF,C14663
C10,0402,1,1uF,C14445
"C12, C15, C16, C5, C6",C_0603,5,10uF,C25804
"C13, C14",C_0402,2,10uF,C307415
"C7, C8, C9",0805,3,22uF,C98190
D1,D_SOD-123FL,1,PMEG10010ELRX-TP,C7603319
IC1,SOT-563,1,TPS61023,C919459
IC2,TPS62932DRLR,1,TPS2116DRLR,C3235557
"J1, J10",PinSocket_1x07_P2.54mm_Vertical_MiniSilk,2,Conn_01x07_Socket,C27985232
"J2, J3",PH2PWB,2,PH-2PWB,C2905019
J6,JST_1x04_P1.0mm_Vertical_SMD,1,Qwiic_Vertical,C2845372
L1,IND-SMD_3P-CD75,1,3 Legged Inductor,C49338546
L2,XEL4030102MEC,1,XEL4030-102MEC,C5441341
LED1,0402,1,LED_G,C965793
LED2,0402,1,LED_R,C25503345
LED3,0402,1,LED_W,C51933306
Q1,SOT-23,1,2N7002,C8545
Q4,DMP3007SCG7,1,DMT10H009LCG-7,C461105
R1,1206,1,30mΩ,C7467247
R10,0402,1,1kΩ,C106235
"R11, R17",0603,2,100KΩ,C14675
R12,R_0402,1,732K,C137940
R13,R_0402,1,100K,C25741
"R14, R16, R18, R19, R8",R_0402,5,10KΩ,C25744
"R15, R4",R_0402,2,30KΩ,C138008
R2,R_0603,1,10Ω,C22859
R20,R_0402,1,22Ω,C25092
R3,R_0603,1,2.2Ω,C22939
R5,R_0402,1,5.1KΩ,C25905
"R6, R7",R_0402,2,2KΩ,C4109
R9,R_0402,1,150Ω,C25082
S2,TS1088AR02016,1,TS-1088-AR02016,C720477
U1,BATT_Charger_SOT-23-5_Min_Silk,1,LP4060B5F,C517259
U2,DFN-8_3x3mm_P0.65mm_EP2.25x1.5mm,1,AP7361C-3.3V,C151007
U3,SOT-23-5,1,INA180A3,C122882
U4,SOT-23-6,1,UCC27511ADBV,C2676982
