Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1uF,C14663
C2,0402,1,1uF,C14445
C5,C_0603,1,100nF,C3011705
D1,D_SOD-123FL,1,PMEG10010ELRX-TP,C7603319
J3,PH2PWB,1,PH-2PWB,C2905019
L1,IND-SMD_3P-CD75,1,3 Legged Inductor,C49338546
LED2,0402,1,LED_R,C25503345
Q3,DMP3007SCG7,1,DMT10H009LCG-7,C461105
R1,1206,1,30mΩ,C7467247
R2,R_0603,1,10Ω,C22859
R20,R_0402,1,22Ω,C25092
R3,R_0603,1,2.2Ω,C22939
R4,0603,1,100KΩ,C14675
R5,0402,1,1kΩ,C106235
R7,R_0402,1,510Ω,C25123
U2,SOT-23-5,1,INA180A3,C122882
U3,SOT-23-6,1,UCC27511ADBV,C2676982
