Designator,Mid X,Mid Y,Rotation,Layer
C1,134.898832,-119.416516,270.0,top
C2,136.798832,-119.416516,90.0,top
C5,142.798832,-105.316516,270.0,top
D1,137.798832,-110.516516,180.0,top
J3,142.898832,-116.666516,0.0,top
JP5V5,146.117471,-102.728463,270.0,bottom
L1,137.798832,-105.066516,270.0,top
LED2,145.64883,-101.436517,270.0,top
Q3,145.020032,-109.292516,180.0,top
R1,136.298832,-113.316516,180.0,top
R2,144.52817,-101.890675,90.0,top
R20,142.276832,-101.977316,270.0,top
R3,143.30897,-101.890675,90.0,top
R4,142.480032,-108.200316,270.0,top
R5,137.748832,-119.416516,90.0,top
R7,146.548832,-101.436516,270.0,top
U2,136.298832,-116.216516,0.0,top
U3,145.121732,-105.316516,90.0,top
